group,entity,sentence,span1L,span1R
metonymic,Hamburg,"hamburg side st pauli , tipped as prime candidates for relegation , produced a stunning second-half fightback to draw 4-4 in their bundesliga clash with schalke on friday .",0.0,1.0
literal,Romania,the palace complex was just part of the conducator's plans to transform romania as a whole .,12.0,13.0
literal,US,"among the protestors were members of the us radical environmentalist group , earth first ! , currently establishing itself in britain .",7.0,8.0
literal,Sokoto,"nigerian police shot dead six robbery suspects as they tried to escape from custody in the northern city of sokoto , the national news agency reported on friday .",19.0,20.0
metonymic,Sri Lanka,sri lanka and australia agreed on friday that relations between the two teams had healed since the sri lankans' acrimonious tour last year .,0.0,2.0
literal,Australia,"shane kelly of australia retained the world one-kilometre time trial title at the world track championships on wednesday , with a track record time of one minute 2 .777 seconds .",3.0,4.0
metonymic,Chile,"chile has proposed a resolution , still under discussion , that would impose an immediate arms embargo on burundi and call for negotiations .",0.0,1.0
literal,Long Island,"a foot-long piece of debris bearing markings from a commercial aircraft was found on the new jersey shore and forwarded to twa crash investigators in long island , officials said on wednesday .",25.0,27.0
literal,Charleroi,dutroux was charged a week ago after police rescued two young girls from a concrete dungeon in the basement of one of the six houses he owns in and around charleroi .,30.0,31.0
metonymic,Togo,togo win 1-0 on aggregate .,0.0,1.0
literal,The Oval,pakistan were 318 for two at lunch on the third day of the third and final test at the oval on saturday in reply to england's 326 all out .,18.0,20.0
metonymic,Chechen Republic,""" we just now signed a statement and attached the basic principles of relations between the russian federation and the chechen republic , "" lebed told reporters after he and maskhadov signed a package of documents .",20.0,22.0
literal,Hong Kong,"hong kong 's tsang sees growth , smooth transition .",0.0,2.0
literal,Steinberg,"austrian television said the coach , which was carrying 45 , was en route from the czech republic to italy when the accident occurred near steinberg , 200 km southwest of vienna .",25.0,26.0
metonymic,Indonesia,south korea made virtually certain of an asian cup quarter-final spot with a 4-2 win over indonesia in a group a match on saturday .,16.0,17.0
literal,Brazil,"as well as its activities in asia , dutch retail group ahold has a strong presence in europe , in the u .s . and the company recently announced a joint venture agreement in brazil .",34.0,35.0
metonymic,Leicester,former wallaby captain michael lynagh began his career in english club rugby in impeccable fashion on saturday to frustrate his old coach bob dwyer on his league coaching debut with leicester .,30.0,31.0
metonymic,Britain,nigeria was suspended from the club of britain and its former colonies in november after the hanging of nine minority rights activists for murder in spite of international pleas for clemency .,7.0,8.0
metonymic,PAKISTAN,cricket - pakistan 339-4 v england - close .,2.0,3.0
literal,U.S.,"this , according to the trader , was typical of month-end position-squaring -- and the fact that a stronger u .s . currency helps limit some foreign exchange losses .",19.0,21.0
metonymic,Munich Re,"the planned 10-for-one stock split would reduce the par value of munich re 's shares to five marks from 50 , causing their price to drop to around one tenth of the present value .",11.0,13.0
literal,Japan,"last year real gnp grew by 8 .5% , and inflation was only 3 .4% , lower than anywhere in asia except japan and malaysia .",22.0,23.0
literal,Britain,all hotels and guest houses listed in this brochure comply with a tourist charter which sets standards which are amongst the highest of any resort in britain .,26.0,27.0
literal,Singapore Strait,"there are lesser seas which must also be included , in particular the fifteen around the islands of the east indian archipelago : the sulu , celebes and molucca seas , the gulf of tomini , the halmahera , ceram , banda , arafura (which may or may not contain the gulf of carpentaria , depending on which atlas is used) , timor and flores seas , the gulf of boni , the bali sea , the makassar strait , the java and savu seas; and there is the gulf of thailand , the strait of malacca , the singapore strait and the inland sea of japan .",99.0,101.0
metonymic,Argentina,"alejandro lanusse , the former dictator who ruled argentina for two years , died at age 78 on monday .",8.0,9.0
literal,Iraq,united nations relief officials said on saturday the fighting in arbil in northern iraq was between rival kurdish factions and they were not aware of any iraqi military advance on the city .,13.0,14.0
metonymic,Brazil,"silva excused his absence from brazil 's game against russia , on wednesday , and saturday's match with the netherlands by saying he had lost his passport .",5.0,6.0
literal,London,"liam caught a taxi back to london saying he had "" problems at home "" .",6.0,7.0
literal,China,china police detains dissident wang donghai .,0.0,1.0
metonymic,United States,the united states has vetoed a second term for the egyptian but left the door open for another african candidate .,1.0,3.0
literal,Baltimore,"in baltimore , don wengert threw a nine-hitter for his first shutout and jose herrera had a two-run double in a three-run fifth inning as the oakland athletics blanked the baltimore orioles 3-0 .",1.0,2.0
literal,Freetown,an army spokesman in freetown said monday night's attack was the third on a military post in the past week .,4.0,5.0
metonymic,Iraq,the pkk often uses bases in northern iraq in its fight for autonomy or independence in southeast turkey .,7.0,8.0
metonymic,Russia,"but ukraine , seeing itself as a bridge between russia and the rapidly westernising countries of eastern europe , is looking west as well as east .",9.0,10.0
literal,White House,"we need to get the kind of help we used to get when ronald reagan and george bush were in the white house , "" wilson said .",21.0,23.0
metonymic,United States,"among the council's five permanent members , russia and the united states appeared to support most elements of the chilean proposal , while britain , france and china were cautious .",10.0,12.0
metonymic,Labour,"peters said the talks with labour and national had reached "" about the same level of completion , and that's good "" .",5.0,6.0
literal,Tirana,""" evaluating all the conditions of the case the court thinks the sentence should be lower than the minimum (15 years) , "" tirana judge qazim gjonaj added .",23.0,24.0
literal,Guerrero,"at least 13 people were killed when scores of masked rebels struck at police and military posts in oaxaca and guerrero states overnight in the biggest assaults in more than two years , officials said on thursday .",20.0,21.0
literal,Hong Kong,"` hong kong people rule hong kong "" : the slogan propagated by china during the 1982-84 sovereignty negotiations , to encourage popular local support for its demand that britain withdraw completely from the administration of hong kong on 30 june 1997 .",36.0,38.0
literal,Indian Ocean,"it was not immediately clear if there were any casualties among the rebels , who are fighting for independence for minority tamils in the indian ocean island's north and east .",24.0,26.0
literal,UNITED STATES,united states - prices of u .s . treasury securities were trading sharply lower near midday after a surprisingly strong chicago purchasing managers' report shook the markets ahead of the long labour day weekend .,0.0,2.0
literal,Russia,"gazprom , russia 's biggest company by market capitalisation , has massive reserves and potentially huge earnings .",2.0,3.0
metonymic,England,england beat moldova 2-0 ( halftime 1-0 ) in a european under-21 soccer championship group 2 qualifier on saturday .,0.0,1.0
literal,China,"tajikistan , which borders afghanistan and china , has been split by a dragging four-year conflict after a civil war between communists and a frail coalition of islamic and liberal groups .",6.0,7.0
literal,Scotland,"the contract involved upgrading the flight data processing system at the oceanic control centre in prestwick in south west scotland for national air traffic services ltd (nats) , subsidiary of the civil aviation authority .",19.0,20.0
metonymic,New Zealand,"world cup cricket champions sri lanka will play two tests and three one-day internationals in a tour of new zealand next march , officials said on wednesday .",18.0,20.0
metonymic,Israel,"arafat , who made an interim peace deal with israel in 1993 that set up self-rule , says he will only visit jerusalem once israeli occupation has ended .",9.0,10.0
metonymic,Pakistan,england were dismissed for 242 in their second innings on the fifth day of the third and final test at the oval on monday leaving pakistan requiring 48 runs to win .,25.0,26.0
literal,California,"the plan has raised a storm of protest from u .s . avocado growers , who are largely concentrated in california .",20.0,21.0
metonymic,Nabil Abu Rdainah,arafat's adviser nabil abu rdainah said :,2.0,5.0
literal,U.S.,"sporting his customary bright green outfit , the u .s . champion clocked 10 .03 seconds despite damp conditions to take the scalp of canada's reigning olympic champion donovan bailey , 1992 champion linford christie of britain and american 1984 and 1988 champion carl lewis .",8.0,10.0
literal,Dahshour,"dahshour is the site of egypt's second largest pyramid , built for the pharaoh seneferu more than 4 ,500 years ago .",0.0,1.0
literal,UK,it points to the impact that the findings of global environmental research are likely to have on most sectors of the uk economy .,21.0,22.0
literal,Indiana,"clinton flew in by helicopter from michigan city , indiana , after ending a four-day , 559-mile trip aboard a campaign train from washington .",9.0,10.0
literal,Dakar,"people are rushing to the hospital as soon as the first symptoms appear , that's why we have fewer deaths , "" he told reuters by telephone from the town , 160 km (100 miles) southeast of the senegalese capital dakar .",40.0,41.0
literal,Tianjin,"caltex petroleum corp plans to build a lubricants blender in a bonded zone in tianjin , the newspaper said .",14.0,15.0
literal,Sarajevo,"a sarajevo daily newspaper , dnevi avaz , which is close to bosnia's moslem nationalist sda party , on monday said the osce would postpone the municipal-level elections until the spring of 1997 because of the refugee registration problems .",1.0,2.0
literal,U.S.,"the victory against japan marked the fed cup debut of monica seles , who became a naturalised u .s . citizen in 1994 .",17.0,19.0
metonymic,Indonesia,"sampras opens the defence of his u .s . open crown against david rikl of the czech republic , while top-ranked graf begins her title defence against yayuk basuki of indonesia .",30.0,31.0
literal,Russia,"ukraine , with a russian community of 11 million people -- the world's largest outside russia -- has avoided conflicts like those in russia's chechnya , neighbouring moldova , and the former soviet republics of georgia , azerbaijan and tajikistan .",15.0,16.0
literal,Zabrze,vogts picked no new players for the squad for the september 4 game in zabrze .,14.0,15.0
literal,Slovakia,davenport had drawn one of the toughest first-round assignments of any of the seeded players in 17th-ranked karina habsudova of slovakia .,20.0,21.0
literal,Czech,"i think that this fidelity to our beers is a factor which can limit the czech beers , "" he said .",15.0,16.0
metonymic,Cambodia,"the french-educated , former brother-in-law of pol pot was foreign minister in the khmer rouge government that ruled cambodia and was seen as the group's second in command .",18.0,19.0
literal,Paris,""" on the island , as at the place beauvau (the interior ministry's paris address) , people are well aware who is who and who is doing what .",13.0,14.0
literal,Liberia,"the ecomog force , currently 10 ,000 strong , was sent to liberia by the economic community of west african states in 1990 at the height of the fighting .",12.0,13.0
literal,Britain,how wonderful that at 62 she won britain 's speed shooting championships .,7.0,8.0
metonymic,China,"china , which has long opposed all taipei efforts to gain greater international recognition , was infuriated by a visit to ukraine this week by taiwanese vice president lien .",0.0,1.0
literal,Central Asia,"placer dome inc too was considered unlikley because it is focusing on geographic expansion in areas that do match santa fe's nevada , south america and central asia presence , they said .",26.0,28.0
metonymic,Bonn,bonn appeals for middle east peace .,0.0,1.0
literal,Northern Ireland,it is clear from the man's record that he was an ally of a man who escaped from northern ireland and who is wanted in northern ireland to pay part of the price for the crime that he committed .,18.0,20.0
literal,Spain,"she and the turkish man smuggled heroin from turkey to antwerp from where it was taken to spain , france and germany by others , the spokesman said .",17.0,18.0
literal,France,"the republic of côte d'ivoire became fully independent from france in august 1960 , the french version of the name being declared the official version in 1985 .",9.0,10.0
literal,Far East,far east gold - moribund market seen continuing .,0.0,2.0
literal,Henry Hub,"nymex henry hub natgas futures settled significantly lower friday , pressured early by profit taking and driven even lower late by the national weather service's bearish six to 10 day forecast , sources said .",1.0,3.0
literal,Bangladesh,"the speaker of bangladesh 's parliament , humayun rasheed choudhury , said he had received death threats from anonymous callers after opposition parties threatened to boycott proceedings chaired by him .",3.0,4.0
literal,Paramaribo,"brunswijk had been in police custody for 10 days after freddy pinas , a surinamese-born visitor from the netherlands , accused brunswijk of trying to kill him in a bar-room brawl in the mining town of moengo 56 miles (90 km) east of paramaribo .",43.0,44.0
metonymic,Pakistan,"pakistan , who arrive in australia later this month , are the other team competing in the world series tournament .",0.0,1.0
metonymic,Belgium,it was belgium 's first victory under van moer after two draws in friendlies against russia and italy .,2.0,3.0
literal,Britain,at least one of the unidentified hijackers was apparently armed with grenades and tnt and threatened to blow the plane up in cyprus unless it was refuelled so they could fly to britain to claim political asylum .,32.0,33.0
literal,Tavildara,"tajik government troops now control of the strategically vital town of tavildara after driving out islamic rebels , but sporadic gunfire still echoed in the nearby pamir mountains on friday .",11.0,12.0
literal,Germany,opposition to the war and especially to the role of the usa was particularly strong in germany .,16.0,17.0
metonymic,Karin Kuster,"swiss skiers occupied the other two places on the podium , karin kuster taking second with 160 .55 narrowly ahead of evelyne leu with 160 .36 .",11.0,13.0
metonymic,United States,1990 - the united states won saudi and kuwaiti pledges to help pay for forces in the gulf .,3.0,5.0
literal,United States,"kadian was approved for sale in the united states last month , faulding said .",7.0,9.0
literal,UK,` he wanted to consolidate his position within the company by being appointed head of the uk operation .,16.0,17.0
metonymic,England,adams and platt are both injured and will miss england 's opening world cup qualifier against moldova on sunday .,9.0,10.0
literal,France,"the ferry , which was towed into port , had been bound for jersey , another in a cluster of small british-ruled islands off north-west france .",25.0,26.0
metonymic,Washington,president bill clinton on friday ordered the u .s . military to ready itself for any possible action as washington turned up the heat in an escalating crisis over iraqi troop movements in northern iraq .,19.0,20.0
metonymic,Iran,the puk statement follows kdp assertions that the puk is receiving military support from iran .,14.0,15.0
metonymic,Barrick,"the ministry had given the companies until december 4 to complete a partnership deal , and advised bre-x to take a 25 percent stake and barrick 75 percent to develop the property .",25.0,26.0
literal,Wall Street,"the london bourse drew little help from the unsettled morning on wall street , which slipped in and out of positive ground after a stronger-than-expected august consumer confidence report refuelled inflation fears , pulling u .s . treasuries back from their early peaks .",11.0,13.0
literal,United Kingdom,one normally thinks in terms of the 3 year rule as applying to a person who emigrates from the united kingdom whilst one considers that the 17 year rule is applicable to someone who becomes resident in the united kingdom whilst retaining his overseas domicile under general principles .,19.0,21.0
literal,Nicaragua,"managua , nicaragua 1996-08-23",2.0,3.0
metonymic,Chechnya,"chernomyrdin said voters should decide chechnya 's future but stressed there was no question of the government letting the region quit the russian federation -- something moscow fears could encourage separatist tendencies in other ethnic regions , particularly in the strategic north caucasus .",5.0,6.0
literal,Tamil Nadu,"some 850 refugees have landed in recent weeks at the port of rameswaram in the southern indian state of tamil nadu , home to 50 million tamil-speaking people , port officials say .",19.0,21.0
literal,Hanmer,some minor damage had been reported in the spa town of hanmer .,11.0,12.0
metonymic,England,third and final test between england and pakistan at the oval .,5.0,6.0
literal,United Kingdom,they said volume was thin following a public holiday in hong kong and the united kingdom .,14.0,16.0
literal,Bosnia,"a sarajevo daily newspaper , dnevi avaz , which is close to bosnia 's moslem nationalist sda party , on monday said the osce would postpone the municipal-level elections until the spring of 1997 because of the refugee registration problems .",12.0,13.0
metonymic,Beijing,"beijing has called on seoul to stop south korean missionaries from travelling to china , a south korean embassy spokesman said on tuesday .",0.0,1.0
literal,BRITAIN,britain - gilts struggled off the day's lows but ended 10/32 down on the day .,0.0,1.0
metonymic,Iraq,- blaming iraq for riots in jordan is a dirty game .,2.0,3.0
literal,Kenya,relations between kenya and the usa and other western states deteriorated sharply as a result of the government's response to ford's demands and activities .,2.0,3.0
literal,Mongolia,"mongolia 's state copyright official , gundegma jargalshaihan , said apologetically that he had just arrived from ulan bator and was not aware of the details of the digital agenda .",0.0,1.0
metonymic,India,she was sent to loretto abbey in dublin and from there to india to begin her novitiate and teach geography at a convent school in calcutta .,12.0,13.0
literal,London,"elsewhere , title hopefuls liverpool were held 0-0 at home by newly-promoted sunderland , and in london , the tie between tottenham hotspur and everton also ended goaless .",16.0,17.0
metonymic,Germany,"germany , poland tighten cooperation against crime .",0.0,1.0
literal,Seattle,"lamonts apparel inc , an operator of 42 family apparel stores in six northwestern states , said it has filed a reorganization plan in bankruptcy court in seattle .",27.0,28.0
literal,Seattle,"in seattle , jay buhner's eighth-inning single snapped a tie as the seattle mariners edged the new york yankees 2-1 in the opener of a three-game series .",1.0,2.0
metonymic,United States,the united states said on thursday it remained committed to migration accords with cuba and would continue to repatriate intercepted cuban migrants who attempted to enter u .s . territory illegally .,1.0,3.0
metonymic,China,"canada is fast-tracking immigration applications from chinese dissidents in hong kong before the british colony reverts to china 's control next year , the vancouver sun reported on wednesday .",17.0,18.0
literal,Germany,"the prime minister , kiichi miyazawa , made a brief official trip to europe in late april and early may , visiting france on april 29-30 and germany on april 30-may 2 .",27.0,28.0
literal,Bonn,"before levy's arrival in bonn , german defence minister volker ruehe will visit israel from september 2 to 4 , the defence ministry said .",4.0,5.0
metonymic,Australia,"scores : australia 263-7 in 50 overs , zimbabwe 138 all out in 41 overs .",2.0,3.0
literal,Mahala,mahala is a moslem village on bosnian serb republic territory .,0.0,1.0
metonymic,Iraq,the security council on friday asked iraq to stop blocking arms inspectors search for concealed weapons or materials they believe were being shuttled around to avoid detection .,6.0,7.0
literal,India,"hindu nationalists forced adjournment of india 's lower house of parliament on friday , in protest against a proposal to observe a minute's silence over the destruction of a mosque by a hindu mob in 1992 .",5.0,6.0
literal,Rio,"london's annual notting hill carnival , the largest in europe and second in the world only to rio , ended peacefully on monday with an estimated 800 ,000 revellers singing and dancing the day away in high spirits .",17.0,18.0
metonymic,NTT,nippon telegraph and telephone corp ( ntt ) said on friday that it hopes to move into the international telecommunications business as soon as possible following the government's decision to split ntt into three firms under a holding company .,6.0,7.0
literal,Britain,britain 's steven redgrave said on wednesday he might change his mind and go for a fifth consecutive olympic gold medal at the 2000 games in sydney .,0.0,1.0
metonymic,Turkey,- turkish foreign minister says turkey will take part in the baghdad trade fair that will be held in november .,5.0,6.0
metonymic,Lahd,"lahd , a 69-year-old former lebanese army major-general , heads the 3 ,000-strong sla militia which helps israel hold a border zone in south lebanon to ward off cross-frontier guerrilla raids on northern israel .",0.0,1.0
literal,Germany,germany is divided .,0.0,1.0
metonymic,South Africa,south africa yet to hear from apartheid enforcers .,0.0,2.0
literal,Boston,"in boston , troy o'leary homered off the right-field foul pole with one out in the bottom of the ninth and the red sox climbed to the .500 mark for the first time this season with their fourth straight victory , 2-1 over the oakland athletics .",1.0,2.0
metonymic,Mauritius,"the 2-1 aggregate took mauritius into the group phase of the qualifiers for the 1998 finals , and kept up the seychelles' record of never having won an official match in their 10 years of fifa membership .",4.0,5.0
literal,Johannesburg,"-- johannesburg newsroom , +27-11 482 1003",1.0,2.0
literal,Zaire,zaire is home to 1 .1 million rwandan hutu refugees who fled three months of civil war in 1994 .,0.0,1.0
literal,UK,"in the first instance it was exemplified in the title of the campaign introduced in the uk in 1977 called ` save it "" .",16.0,17.0
metonymic,Israel,""" we expect from syria , if its face is to peace , that it will answer israel 's message to enter peace negotiations because that is our goal , "" he said . """,17.0,18.0
literal,Turkey,bosnian premier in turkey for one day visit .,3.0,4.0
literal,British India,"this was the most successful moment of the pledge technique , though it was employed in the 1837 election to end apprenticeship and suggested in 1841 by the bfass to create a parliamentary bloc ready to abolish slavery in british india .",39.0,41.0
literal,London,his comments came just minutes after the latest set of open skies talks ended in london with no deal signed .,15.0,16.0
literal,US,"the dewar challenge trophy - awarded for the most meritorious performance of the year in any trial under the long-distance trials regulations - was presented to cadillac that year , the first time the trophy had been won by a us car maker .",40.0,41.0
literal,United States,- seven ministers and governor of bank of israel will visit the united states at the end of september and in october .,12.0,14.0
literal,Zurich,"the demonstrators , said by police to number 6 ,000 , also urged the release of nadarajah muralidaran , swiss-based leader of the the tamil tiger guerrillas , who has been held in a zurich jail since april on charges of extortion .",34.0,35.0
metonymic,Hong Kong,"hong kong financial secretary donald tsang said on friday that the territory had the "" infrastructural hardware "" to make a success of its future under chinese sovereignty from mid-1997 .",0.0,2.0
metonymic,Moscow,moscow said the crew's nationality was coincidental .,0.0,1.0
metonymic,Zimbabwe,"australia , in sri lanka for a limited overs tournament which also includes india and zimbabwe , have been promised the presence of commandos , sniffer dogs and plainclothes policemen to ensure the tournament is trouble-free .",15.0,16.0
literal,Germany,"responding to a letter from the the palestinian u .n . observer mission , security council president tono eitel of germany said that members asked him to convey their views to israel's charge d'affaires , david peleg .",20.0,21.0
literal,Mano Junction,sewa said the rebels overran foindu despite the presence of government troops in the village on the highway between mano junction and the diamond town of tongo field .,19.0,21.0
literal,Netherlands,"botafogo striker tulio , who was overlooked by zagalo for the tour which also features a game away to the netherlands on sunday , scored his third goal in three games as the defending champions beat bahia 2-1 away .",20.0,21.0
literal,Scotland,peter nicol (scotland ) beat simon parke (england) 15-7 15-12 15-12 rodney eyles (australia) beat mark cairns (england) 15-7 15-6 15-8 .,2.0,3.0
literal,London,"a hijacked sudan airways plane carrying 199 passengers and crew landed at stansted airport just outside london early on tuesday morning after flying from cyprus , eyewitnesses said .",16.0,17.0
literal,Velten,the girl was abducted from her school in velten near berlin on monday .,8.0,9.0
literal,United States,"dole said 70 percent of the cocaine that entered the united states and 40 percent of the marijuana came from mexico . """,10.0,12.0
literal,Bandundu,"delegates to the commission from the other 10 provinces will be installed progressively from next week with the provinces of north and south kivu , maniema , shaba and bandundu having priority , he said .",29.0,30.0
metonymic,Japan,"perceptions of product parity are highest in markets like japan , where product proliferation is wildest .",9.0,10.0
literal,India,the campaign catapulted bjp from the political fringe to become india 's main opposition party in 1991 .,10.0,11.0
literal,Romania,"reporting on nov . 21 on the results of his week-long tour of eastern europe from which he had just returned , botha noted the establishment of consular ties with czechoslovakia and romania .",32.0,33.0
literal,Huize,"a group of farmers in huize county in the southwestern province of yunnan were arrested for blending alcohol with methanol and selling the toxic liquor to local residents , the agency said .",5.0,6.0
literal,India,"india 's crude petroleum output fell to 2 .56 million tonnes in september from 2 .83 million in the same month in 1995 , the government said on friday .",0.0,1.0
literal,Nepal,"nepal 's centre-right coalition government has offered to meet the country's hardline maoist communists for talks in a bid to end an insurgency in nepal's western districts , officials said on tuesday .",0.0,1.0
metonymic,Israel,"responding to a letter from the the palestinian u .n . observer mission , security council president tono eitel of germany said that members asked him to convey their views to israel 's charge d'affaires , david peleg .",31.0,32.0
literal,Arbil,""" they have confirmed to us that iraqi troops are taking part in the attack on arbil . . .",16.0,17.0
literal,London,"tuesday's patchy showing in london followed a string of records last week , culminating in friday's trading high of 3 ,911 , fuelled by a wave of european interest rate cuts .",4.0,5.0
metonymic,SOUTH AFRICA,rugby union - new zealand defeat south africa 33-26 .,6.0,8.0
literal,Pretoria,"constand viljoen , leader of the freedom front party , told a news conference in pretoria self-determination for afrikaners could begin at local government level .",15.0,16.0
literal,St Louis,"in st louis , gary sheffield and devon white each drove in two runs and mark hutton scattered four hits over six innings to lead the florida marlins past the st . louis cardinals 6-3 .",1.0,3.0
literal,Berlin,banisadr angered tehran last week by accusing top iranian leaders of ordering the assassination of iranian kurdish leaders in a berlin restaurant in 1992 .,20.0,21.0
literal,New York,-- (new york commodities desk 212 859 1646),1.0,3.0
literal,Hong Kong,"canada is fast-tracking immigration applications from chinese dissidents in hong kong before the british colony reverts to china's control next year , the vancouver sun reported on wednesday .",9.0,11.0
literal,Hungary,"analysts blame , at least partly , hungary 's macroeconomic environment for the weaker figures for cofinec which , operating in hungary , poland and the czech republic , now generates about 55 to 60 percent of its annual sales from hungary .",7.0,8.0
metonymic,Iraq,- offers from arab and foreign companies to supply iraq with goods .,9.0,10.0
metonymic,Kwasniewski,"the relations with the vatican have also been soured by a recent relaxation of poland's anti-abortion rules , which kwasniewski signed into law last month .",19.0,20.0
literal,Bratislava,skinheads attack bratislava rabbi - police .,2.0,3.0
metonymic,Nepal,nepal offers to talk to maoist insurgents .,0.0,1.0
literal,India,variable clouds in southern india with showers .,4.0,5.0
literal,Mohali,"the right-handed batsman will have to forfeit half the money he was due to earn from the tour , the news agency said after a disciplinary committee set up by the board of control for cricket in india met at mohali , near the northern city of chandigarh .",40.0,41.0
literal,Venezuela,american tom johnson successfully defended his ibf featherweight title when he earned a unanimous points decision over venezuela 's ramon guzman on saturday .,17.0,18.0
metonymic,Bre-X,the richest parts of the property to the north and south of the central region have been estimated by bre-x to contain 57 million ounces of gold .,19.0,20.0
literal,Netherlands,"only the eagle badge on their shakos had been changed , replaced by a ` w "" for king william of the netherlands , but otherwise the dutch-belgians were dressed exactly like the men they were doubtless about to fight .",22.0,23.0
literal,Bosnia,bosnia 's moslem political parties have urged their refugees to boycott the elections until irregularities with voter registration are resolved .,0.0,1.0
literal,Freiburg,the defence ministry said in a statement that investigations were still in the preliminary stage but it was cooperating closely with police in the cantons of geneva and freiburg .,28.0,29.0
literal,Croatia,"fifth-seed iva majoli of croatia was picked off by austrian judith wiesner and wimbledon semifinalist kimiko date of japan , the 10th seed , fell 6-2 7-5 to 53rd-ranked american kimberly po .",4.0,5.0
literal,Zimbabwe,"leading second round scores in the zimbabwe open at the par-72 chapman golf club on friday (south african unless stated) : 132 des terblanche 65 67 133 mark mcnulty (zimbabwe) 72 61 134 steve van vuuren 65 69 136 nick price (zimbabwe) 68 68 , justin hobday 71 65 ,",6.0,7.0
metonymic,Burma,but she said she and the nld would not stop their efforts to bring democracy to burma even if it meant more arrests of party members or even herself .,16.0,17.0
literal,Saudi Arabia,"fbi director louis freeh , who has twice visited saudi arabia to seek improved cooperation with saudi investigators , told the committee he was not entirely satisfied with saudi cooperation on the dhahran bomb and a previous bomb attack in riyadh .",9.0,11.0
metonymic,Ukraine,"but recently ukraine has been losing its reputation as a breadbasket of europe , earned in the years before brutal forced collectivisation under soviet dictator josef stalin .",2.0,3.0
literal,Khartoum,"iraq's ambassador in khartoum denounced the hijacking and described it as a terrorist act which had nothing to do "" with the morals and values of noble iraqis , "" ina said .",3.0,4.0
literal,Khartoum,the plane was hijacked on its way from khartoum to the jordanian capital amman on monday evening and landed at larnaca airport in cyprus to refuel .,8.0,9.0
literal,Washington,"the syrians are confused , they are definitely tense , but the general assessment here in washington is that this is essentially a storm in a teacup , "" he said .",16.0,17.0
metonymic,PLO,"the palestine liberation organisation ( plo ) negotiators said the last two weeks of talks with israel on implementing the long-delayed handover of most of hebron to plo rule had been "" meaningless "" , necessitating an arafat-netanyahu meeting .",5.0,6.0
metonymic,San Diego,"martinez ( 11-7 ) , who lasted just 1-1/3 innings in his last start against san diego five days ago , pitched eight-plus innings , walking four and striking out 10 .",15.0,17.0
literal,Hebron,"witnesses said most shops were closed in towns and villages in the areas , with the exception of hebron , a west bank city still under israeli occupation .",18.0,19.0
literal,U.S.,"the taiwan dollar fell in early trade on month-end u .s . dollar demand , but the downtrend was later reversed as taiwan dollar liquidity tightened . """,9.0,11.0
metonymic,Boutros-Ghali,the security council has to vote on a new secretary-general and then seek the endorsement of the 185-members general assembly before december 31 when boutros-ghali 's term expires .,24.0,25.0
literal,Pacific,"u .s . marine biologists have trained a pair of sea lions to tag and photograph elusive whales as they cruise through the pacific depths , new scientist magazine reported on thursday .",23.0,24.0
literal,Karachi,-- karachi newsroom 9221-5685192,1.0,2.0
literal,United States,""" the women who want to reduce their breasts here would probably want to increase them in the united states , "" sbcp vice-president oswaldo saldanha said . """,18.0,20.0
literal,Kenya,"the provincial commissioner , philip mitchell , then near the beginning of the career which was to culminate in the governorships of uganda and kenya , complimented murrells on his anthropological acumen - and advised him that the local councils of elders should ` consist where possible of one man , with three or more advisers , rather than a committee because of the notorious weakness of committees as executive instruments "" .",24.0,25.0
literal,Chechnya,"speculation mounted last week that lebed was operating out on a limb in chechnya as yeltsin , hardly seen since his reelection last month , kept out of sight and then gave an interview criticising his envoy just as he clinched a truce .",13.0,14.0
literal,UK,"draft companies house guidance for foreign companies operating in the uk may not be clear enough for the companies to be sure they are acting within the law , according to the institute .",10.0,11.0
literal,Mahala,"that up to 75 moslem men are believed to be approaching mahala , "" nato spokesman lieutenant-colonel max marriner said in sarajevo .",11.0,12.0
literal,United States,"the humane society of the united states estimates that between 500 ,000 and one million bites are delivered by dogs each year , more than half of which are suffered by children .",5.0,7.0
metonymic,London,"the 34-year-old winger played his final game in a wallaby jersey on saturday but is currently a target for clubs eager to match london side saracens who have already snapped up francois pienaar , michael lynagh and philippe sella .",23.0,24.0
metonymic,Supple,supple said any political gains the singapore government would get from the wto meeting -- ahead of a general election due by april 1997 -- would depend on how successful it was in pushing its economic agenda .,0.0,1.0
literal,Bahrain,- king to visit bahrain soon .,4.0,5.0
literal,Sierra,"conroy noted two 500 kv and another 220 kv line running from the sierra plant to los angeles remained in operation , and continued to carry some of the production from sierra to the region .",13.0,14.0
literal,East Germany,"the chancellor has evidently made it clear to moscow that west germany respects east germany 's existence as a separate state , that it does not want to alter the present military set-up of nato and the warsaw pact , and that although it aims to overcome the division of europe , this does not also apply to the political division of germany - at least for the foreseeable future .",13.0,15.0
literal,Afghanistan,afghanistan,0.0,1.0
literal,Middle East Gulf,"india will continue to hold the key to the middle distillates product market in the middle east gulf in the short term , traders in the region said on thursday .",15.0,18.0
metonymic,Hong Kong,"hong kong will retain its own currency after the handover , run its own financial and monetary policy and have control over its own foreign exchange reserves .",0.0,2.0
metonymic,China,"china on tuesday reaffirmed its support for a global nuclear test ban treaty blocked by india last week , saying the pact would be an important step in achieving total nuclear disarmament .",0.0,1.0
metonymic,Germany,the other two first-round ties will pit hosts germany against the czech republic and visiting france against japan .,8.0,9.0
